,created_at,forks_count,full_name,id,name,owner,updated_at
0,2019-04-20T01:55:53Z,0,williamjfermo/python-variables-lab-data-science-intro-000,182347410,python-variables-lab-data-science-intro-000,"{'login': 'williamjfermo', 'id': 49126800, 'node_id': 'MDQ6VXNlcjQ5MTI2ODAw', 'avatar_url': 'https://avatars2.githubusercontent.com/u/49126800?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/williamjfermo', 'html_url': 'https://github.com/williamjfermo', 'followers_url': 'https://api.github.com/users/williamjfermo/followers', 'following_url': 'https://api.github.com/users/williamjfermo/following{/other_user}', 'gists_url': 'https://api.github.com/users/williamjfermo/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/williamjfermo/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/williamjfermo/subscriptions', 'organizations_url': 'https://api.github.com/users/williamjfermo/orgs', 'repos_url': 'https://api.github.com/users/williamjfermo/repos', 'events_url': 'https://api.github.com/users/williamjfermo/events{/privacy}', 'received_events_url': 'https://api.github.com/users/williamjfermo/received_events', 'type': 'User', 'site_admin': False}",2019-04-20T01:55:55Z
1,2019-04-19T21:59:47Z,0,Erica-Brown/python-variables-lab-data-science-intro-000,182330408,python-variables-lab-data-science-intro-000,"{'login': 'Erica-Brown', 'id': 29965520, 'node_id': 'MDQ6VXNlcjI5OTY1NTIw', 'avatar_url': 'https://avatars2.githubusercontent.com/u/29965520?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Erica-Brown', 'html_url': 'https://github.com/Erica-Brown', 'followers_url': 'https://api.github.com/users/Erica-Brown/followers', 'following_url': 'https://api.github.com/users/Erica-Brown/following{/other_user}', 'gists_url': 'https://api.github.com/users/Erica-Brown/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Erica-Brown/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Erica-Brown/subscriptions', 'organizations_url': 'https://api.github.com/users/Erica-Brown/orgs', 'repos_url': 'https://api.github.com/users/Erica-Brown/repos', 'events_url': 'https://api.github.com/users/Erica-Brown/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Erica-Brown/received_events', 'type': 'User', 'site_admin': False}",2019-04-19T21:59:49Z
2,2019-04-19T19:10:50Z,0,SaidaZardi/python-variables-lab-data-science-intro-000,182313462,python-variables-lab-data-science-intro-000,"{'login': 'SaidaZardi', 'id': 49793762, 'node_id': 'MDQ6VXNlcjQ5NzkzNzYy', 'avatar_url': 'https://avatars0.githubusercontent.com/u/49793762?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/SaidaZardi', 'html_url': 'https://github.com/SaidaZardi', 'followers_url': 'https://api.github.com/users/SaidaZardi/followers', 'following_url': 'https://api.github.com/users/SaidaZardi/following{/other_user}', 'gists_url': 'https://api.github.com/users/SaidaZardi/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/SaidaZardi/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/SaidaZardi/subscriptions', 'organizations_url': 'https://api.github.com/users/SaidaZardi/orgs', 'repos_url': 'https://api.github.com/users/SaidaZardi/repos', 'events_url': 'https://api.github.com/users/SaidaZardi/events{/privacy}', 'received_events_url': 'https://api.github.com/users/SaidaZardi/received_events', 'type': 'User', 'site_admin': False}",2019-04-19T19:10:52Z
3,2019-04-19T18:22:28Z,0,laueternal/python-variables-lab-data-science-intro-000,182307952,python-variables-lab-data-science-intro-000,"{'login': 'laueternal', 'id': 8890823, 'node_id': 'MDQ6VXNlcjg4OTA4MjM=', 'avatar_url': 'https://avatars1.githubusercontent.com/u/8890823?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/laueternal', 'html_url': 'https://github.com/laueternal', 'followers_url': 'https://api.github.com/users/laueternal/followers', 'following_url': 'https://api.github.com/users/laueternal/following{/other_user}', 'gists_url': 'https://api.github.com/users/laueternal/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/laueternal/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/laueternal/subscriptions', 'organizations_url': 'https://api.github.com/users/laueternal/orgs', 'repos_url': 'https://api.github.com/users/laueternal/repos', 'events_url': 'https://api.github.com/users/laueternal/events{/privacy}', 'received_events_url': 'https://api.github.com/users/laueternal/received_events', 'type': 'User', 'site_admin': False}",2019-04-19T18:22:31Z
4,2019-04-19T18:07:25Z,0,vsdynamite/python-variables-lab-data-science-intro-000,182306162,python-variables-lab-data-science-intro-000,"{'login': 'vsdynamite', 'id': 49765426, 'node_id': 'MDQ6VXNlcjQ5NzY1NDI2', 'avatar_url': 'https://avatars1.githubusercontent.com/u/49765426?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/vsdynamite', 'html_url': 'https://github.com/vsdynamite', 'followers_url': 'https://api.github.com/users/vsdynamite/followers', 'following_url': 'https://api.github.com/users/vsdynamite/following{/other_user}', 'gists_url': 'https://api.github.com/users/vsdynamite/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/vsdynamite/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/vsdynamite/subscriptions', 'organizations_url': 'https://api.github.com/users/vsdynamite/orgs', 'repos_url': 'https://api.github.com/users/vsdynamite/repos', 'events_url': 'https://api.github.com/users/vsdynamite/events{/privacy}', 'received_events_url': 'https://api.github.com/users/vsdynamite/received_events', 'type': 'User', 'site_admin': False}",2019-04-19T18:07:27Z
5,2019-04-19T16:50:18Z,0,ProsperBayor/python-variables-lab-data-science-intro-000,182297058,python-variables-lab-data-science-intro-000,"{'login': 'ProsperBayor', 'id': 49791770, 'node_id': 'MDQ6VXNlcjQ5NzkxNzcw', 'avatar_url': 'https://avatars0.githubusercontent.com/u/49791770?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ProsperBayor', 'html_url': 'https://github.com/ProsperBayor', 'followers_url': 'https://api.github.com/users/ProsperBayor/followers', 'following_url': 'https://api.github.com/users/ProsperBayor/following{/other_user}', 'gists_url': 'https://api.github.com/users/ProsperBayor/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ProsperBayor/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ProsperBayor/subscriptions', 'organizations_url': 'https://api.github.com/users/ProsperBayor/orgs', 'repos_url': 'https://api.github.com/users/ProsperBayor/repos', 'events_url': 'https://api.github.com/users/ProsperBayor/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ProsperBayor/received_events', 'type': 'User', 'site_admin': False}",2019-04-19T16:50:20Z
6,2019-04-19T15:58:10Z,0,wengong/python-variables-lab-data-science-intro-000,182290173,python-variables-lab-data-science-intro-000,"{'login': 'wengong', 'id': 15041830, 'node_id': 'MDQ6VXNlcjE1MDQxODMw', 'avatar_url': 'https://avatars2.githubusercontent.com/u/15041830?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/wengong', 'html_url': 'https://github.com/wengong', 'followers_url': 'https://api.github.com/users/wengong/followers', 'following_url': 'https://api.github.com/users/wengong/following{/other_user}', 'gists_url': 'https://api.github.com/users/wengong/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/wengong/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/wengong/subscriptions', 'organizations_url': 'https://api.github.com/users/wengong/orgs', 'repos_url': 'https://api.github.com/users/wengong/repos', 'events_url': 'https://api.github.com/users/wengong/events{/privacy}', 'received_events_url': 'https://api.github.com/users/wengong/received_events', 'type': 'User', 'site_admin': False}",2019-04-19T15:58:12Z
7,2019-04-19T15:49:20Z,0,tjacklawrence/python-variables-lab-data-science-intro-000,182288869,python-variables-lab-data-science-intro-000,"{'login': 'tjacklawrence', 'id': 49789882, 'node_id': 'MDQ6VXNlcjQ5Nzg5ODgy', 'avatar_url': 'https://avatars2.githubusercontent.com/u/49789882?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tjacklawrence', 'html_url': 'https://github.com/tjacklawrence', 'followers_url': 'https://api.github.com/users/tjacklawrence/followers', 'following_url': 'https://api.github.com/users/tjacklawrence/following{/other_user}', 'gists_url': 'https://api.github.com/users/tjacklawrence/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tjacklawrence/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tjacklawrence/subscriptions', 'organizations_url': 'https://api.github.com/users/tjacklawrence/orgs', 'repos_url': 'https://api.github.com/users/tjacklawrence/repos', 'events_url': 'https://api.github.com/users/tjacklawrence/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tjacklawrence/received_events', 'type': 'User', 'site_admin': False}",2019-04-19T15:49:22Z
8,2019-04-19T07:53:28Z,0,chanmichaelmichael/python-variables-lab-data-science-intro-000,182225526,python-variables-lab-data-science-intro-000,"{'login': 'chanmichaelmichael', 'id': 47486510, 'node_id': 'MDQ6VXNlcjQ3NDg2NTEw', 'avatar_url': 'https://avatars3.githubusercontent.com/u/47486510?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/chanmichaelmichael', 'html_url': 'https://github.com/chanmichaelmichael', 'followers_url': 'https://api.github.com/users/chanmichaelmichael/followers', 'following_url': 'https://api.github.com/users/chanmichaelmichael/following{/other_user}', 'gists_url': 'https://api.github.com/users/chanmichaelmichael/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/chanmichaelmichael/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/chanmichaelmichael/subscriptions', 'organizations_url': 'https://api.github.com/users/chanmichaelmichael/orgs', 'repos_url': 'https://api.github.com/users/chanmichaelmichael/repos', 'events_url': 'https://api.github.com/users/chanmichaelmichael/events{/privacy}', 'received_events_url': 'https://api.github.com/users/chanmichaelmichael/received_events', 'type': 'User', 'site_admin': False}",2019-04-19T07:53:30Z
9,2019-04-19T01:19:15Z,0,charlotte-espeland/python-variables-lab-data-science-intro-000,182180056,python-variables-lab-data-science-intro-000,"{'login': 'charlotte-espeland', 'id': 49767543, 'node_id': 'MDQ6VXNlcjQ5NzY3NTQz', 'avatar_url': 'https://avatars1.githubusercontent.com/u/49767543?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/charlotte-espeland', 'html_url': 'https://github.com/charlotte-espeland', 'followers_url': 'https://api.github.com/users/charlotte-espeland/followers', 'following_url': 'https://api.github.com/users/charlotte-espeland/following{/other_user}', 'gists_url': 'https://api.github.com/users/charlotte-espeland/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/charlotte-espeland/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/charlotte-espeland/subscriptions', 'organizations_url': 'https://api.github.com/users/charlotte-espeland/orgs', 'repos_url': 'https://api.github.com/users/charlotte-espeland/repos', 'events_url': 'https://api.github.com/users/charlotte-espeland/events{/privacy}', 'received_events_url': 'https://api.github.com/users/charlotte-espeland/received_events', 'type': 'User', 'site_admin': False}",2019-04-19T01:19:17Z
